Year,Jan_Value,Feb_Value,Mar_Value,Apr_Value,May_Value,Jun_Value,Jul_Value,Aug_Value,Sep_Value,Oct_Value,Nov_Value,Dec_Value,Jan_Anomaly,Feb_Anomaly,Mar_Anomaly,Apr_Anomaly,May_Anomaly,Jun_Anomaly,Jul_Anomaly,Aug_Anomaly,Sep_Anomaly,Oct_Anomaly,Nov_Anomaly,Dec_Anomaly,Jan_Mean,Feb_Mean,Mar_Mean,Apr_Mean,May_Mean,Jun_Mean,Jul_Mean,Aug_Mean,Sep_Mean,Oct_Mean,Nov_Mean,Dec_Mean
1998,19.18,18.74,19.71,21.74,23.92,25.02,25.38,25.39,25.44,27.11,26.74,23.28,0.16,0.79,0.6,0.47,0.7,0.26,0.56,1.12,1.24,1.39,0.73,0.47,19.02,17.95,19.11,21.27,23.22,24.76,24.82,24.27,24.2,25.72,26.01,22.81
1999,19.18,18.28,19.38,21.97,24.02,25.43,25.77,25.19,24.82,26.95,26.76,23.36,0.16,0.33,0.27,0.7,0.8,0.67,0.95,0.92,0.62,1.23,0.75,0.55,19.02,17.95,19.11,21.27,23.22,24.76,24.82,24.27,24.2,25.72,26.01,22.81
2000,18.97,18.05,19.31,21.69,24.07,25.56,25.61,25.38,25.14,26.51,26.08,22.55,-0.05,0.1,0.2,0.42,0.85,0.8,0.79,1.11,0.94,0.79,0.07,-0.26,19.02,17.95,19.11,21.27,23.22,24.76,24.82,24.27,24.2,25.72,26.01,22.81
2001,19.43,18.86,20.25,21.9,23.84,24.88,24.92,24.88,24.9,26.03,26.27,22.84,0.41,0.91,1.14,0.63,0.62,0.12,0.1,0.61,0.7,0.31,0.26,0.03,19.02,17.95,19.11,21.27,23.22,24.76,24.82,24.27,24.2,25.72,26.01,22.81
2002,19.01,18.3,19.1,20.63,22.48,23.96,24.68,23.67,23.72,26.03,25.75,23.4,-0.01,0.35,-0.01,-0.64,-0.74,-0.8,-0.14,-0.6,-0.48,0.31,-0.26,0.59,19.02,17.95,19.11,21.27,23.22,24.76,24.82,24.27,24.2,25.72,26.01,22.81
2003,20.16,18.98,19.92,21.72,23.76,25.59,25.61,24.52,24.42,26.05,26.24,23.15,1.14,1.03,0.81,0.45,0.54,0.83,0.79,0.25,0.22,0.33,0.23,0.34,19.02,17.95,19.11,21.27,23.22,24.76,24.82,24.27,24.2,25.72,26.01,22.81
2004,19.62,18.49,19.52,21.27,23.03,25.23,25.76,24.86,24.9,26.39,26.42,22.78,0.6,0.54,0.41,0,-0.19,0.47,0.94,0.59,0.7,0.67,0.41,-0.03,19.02,17.95,19.11,21.27,23.22,24.76,24.82,24.27,24.2,25.72,26.01,22.81
2005,18.41,17.34,18.77,21.12,23.2,24.45,24.81,24.22,24.3,25.83,26.54,21.91,-0.61,-0.61,-0.34,-0.15,-0.02,-0.31,-0.01,-0.05,0.1,0.11,0.53,-0.9,19.02,17.95,19.11,21.27,23.22,24.76,24.82,24.27,24.2,25.72,26.01,22.81
2006,17.63,16.97,17.63,19.92,21.98,24.26,24.57,24.6,24.95,26.27,25.89,21.8,-1.39,-0.98,-1.48,-1.35,-1.24,-0.5,-0.25,0.33,0.75,0.55,-0.12,-1.01,19.02,17.95,19.11,21.27,23.22,24.76,24.82,24.27,24.2,25.72,26.01,22.81
2007,18.37,17.41,18.37,20.27,22.43,24.51,23.9,23.02,23.13,24.55,25.65,24.01,-0.65,-0.54,-0.74,-1,-0.79,-0.25,-0.92,-1.25,-1.07,-1.17,-0.36,1.2,19.02,17.95,19.11,21.27,23.22,24.76,24.82,24.27,24.2,25.72,26.01,22.81
2008,20.3,18.84,20.46,22.59,24.02,25.27,24.77,23.55,22.84,25.34,26.59,23.87,1.28,0.89,1.35,1.32,0.8,0.51,-0.05,-0.72,-1.36,-0.38,0.58,1.06,19.02,17.95,19.11,21.27,23.22,24.76,24.82,24.27,24.2,25.72,26.01,22.81
2009,19.62,17.8,19.42,22.3,24.12,25.23,24.73,24.24,24.22,25.22,25.62,22.94,0.6,-0.15,0.31,1.03,0.9,0.47,-0.09,-0.03,0.02,-0.5,-0.39,0.13,19.02,17.95,19.11,21.27,23.22,24.76,24.82,24.27,24.2,25.72,26.01,22.81
2010,18.7,17.69,18.99,21.38,23.51,25,24.99,24.48,23.67,25.63,26.36,23.1,-0.32,-0.26,-0.12,0.11,0.29,0.24,0.17,0.21,-0.53,-0.09,0.35,0.29,19.02,17.95,19.11,21.27,23.22,24.76,24.82,24.27,24.2,25.72,26.01,22.81
2011,17.97,16.88,17.92,20.21,22.77,24.08,23.47,23.31,23.3,24.68,25.53,23.35,-1.05,-1.07,-1.19,-1.06,-0.45,-0.68,-1.35,-0.96,-0.9,-1.04,-0.48,0.54,19.02,17.95,19.11,21.27,23.22,24.76,24.82,24.27,24.2,25.72,26.01,22.81
2012,19.38,18.1,19.75,21.94,23.47,24.22,23.97,22.82,22.78,24.48,25.5,22.4,0.36,0.15,0.64,0.67,0.25,-0.54,-0.85,-1.45,-1.42,-1.24,-0.51,-0.41,19.02,17.95,19.11,21.27,23.22,24.76,24.82,24.27,24.2,25.72,26.01,22.81
2013,19.24,18.56,20.05,21.92,23.92,25.51,24.94,24.67,24.6,26.47,26.81,24.03,0.22,0.61,0.94,0.65,0.7,0.75,0.12,0.4,0.4,0.75,0.8,1.22,19.02,17.95,19.11,21.27,23.22,24.76,24.82,24.27,24.2,25.72,26.01,22.81
2014,19.98,18.26,19.66,22.43,24.22,25.72,25.22,24.99,24.98,26.23,26.5,24.28,0.96,0.31,0.55,1.16,1,0.96,0.4,0.72,0.78,0.51,0.49,1.47,19.02,17.95,19.11,21.27,23.22,24.76,24.82,24.27,24.2,25.72,26.01,22.81
2015,20.45,18.2,19.33,22.26,24.19,25.35,25.16,23.35,23.06,25.38,26.03,22.7,1.43,0.25,0.22,0.99,0.97,0.59,0.34,-0.92,-1.14,-0.34,0.02,-0.11,19.02,17.95,19.11,21.27,23.22,24.76,24.82,24.27,24.2,25.72,26.01,22.81
2016,18.15,16.99,18.47,20.9,22.02,23.65,23.96,23.26,22.68,23.54,22.88,19.74,-0.87,-0.96,-0.64,-0.37,-1.2,-1.11,-0.86,-1.01,-1.52,-2.18,-3.13,-3.07,19.02,17.95,19.11,21.27,23.22,24.76,24.82,24.27,24.2,25.72,26.01,22.81
2017,16.97,16.41,16.99,19.19,21.64,23.17,23.24,22.7,22.73,24.55,24.6,21.22,-2.05,-1.54,-2.12,-2.08,-1.58,-1.59,-1.58,-1.57,-1.47,-1.17,-1.41,-1.59,19.02,17.95,19.11,21.27,23.22,24.76,24.82,24.27,24.2,25.72,26.01,22.81
2018,17.29,16.3,17.84,19.73,21.55,23.67,23.97,23.03,22.75,23.86,24.92,21.05,-1.73,-1.65,-1.27,-1.54,-1.67,-1.09,-0.85,-1.24,-1.45,-1.86,-1.09,-1.76,19.02,17.95,19.11,21.27,23.22,24.76,24.82,24.27,24.2,25.72,26.01,22.81
2019,17.44,17.04,17.74,19.15,21.04,22.84,22.89,22.51,22.69,23.67,24.34,21.31,-1.58,-0.91,-1.37,-2.12,-2.18,-1.92,-1.93,-1.76,-1.51,-2.05,-1.67,-1.5,19.02,17.95,19.11,21.27,23.22,24.76,24.82,24.27,24.2,25.72,26.01,22.81
2020,18.24,17.56,18.73,20.28,22.21,23.86,23.01,22.83,22.84,23.82,25.22,22.3,-0.78,-0.39,-0.38,-0.99,-1.01,-0.9,-1.81,-1.44,-1.36,-1.9,-0.79,-0.51,19.02,17.95,19.11,21.27,23.22,24.76,24.82,24.27,24.2,25.72,26.01,22.81
2021,18.28,17.28,19.14,20.92,23.08,24.31,24.1,23.9,23.46,24.51,24.87,21.39,-0.74,-0.67,0.03,-0.35,-0.14,-0.45,-0.72,-0.37,-0.74,-1.21,-1.14,-1.42,19.02,17.95,19.11,21.27,23.22,24.76,24.82,24.27,24.2,25.72,26.01,22.81
2022,17.81,16.82,17.45,19.94,22.3,23.1,23.28,23,22.96,24.13,24.89,20.73,-1.21,-1.13,-1.66,-1.33,-0.92,-1.66,-1.54,-1.27,-1.24,-1.59,-1.12,-2.08,19.02,17.95,19.11,21.27,23.22,24.76,24.82,24.27,24.2,25.72,26.01,22.81
2023,16.58,16.09,17.24,19.48,21.19,21.98,21.67,21.07,21.17,22.57,23.93,20.67,-2.44,-1.86,-1.87,-1.79,-2.03,-2.78,-3.15,-3.2,-3.03,-3.15,-2.08,-2.14,19.02,17.95,19.11,21.27,23.22,24.76,24.82,24.27,24.2,25.72,26.01,22.81
